link,questionFrontendId,titleSlug,difficulty,topicTags
https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,2035,partition-array-into-two-arrays-to-minimize-sum-difference,Hard,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
https://leetcode.com/problems/second-minimum-time-to-reach-destination/,2045,second-minimum-time-to-reach-destination,Hard,"Breadth-First Search, Graph, Shortest Path"
https://leetcode.com/problems/find-all-people-with-secret/,2092,find-all-people-with-secret,Hard,"Depth-First Search, Breadth-First Search, Union Find, Graph, Sorting"
https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/,2290,minimum-obstacle-removal-to-reach-corner,Hard,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
https://leetcode.com/problems/minimum-score-after-removals-on-a-tree/,2322,minimum-score-after-removals-on-a-tree,Hard,"Array, Bit Manipulation, Tree, Depth-First Search"
https://leetcode.com/problems/number-of-good-paths/,2421,number-of-good-paths,Hard,"Array, Hash Table, Tree, Union Find, Graph, Sorting"
https://leetcode.com/problems/minimum-total-distance-traveled/,2463,minimum-total-distance-traveled,Hard,"Array, Dynamic Programming, Sorting"
https://leetcode.com/problems/number-of-great-partitions/,2518,number-of-great-partitions,Hard,"Array, Dynamic Programming"
https://leetcode.com/problems/number-of-ways-to-earn-points/,2585,number-of-ways-to-earn-points,Hard,"Array, Dynamic Programming"
https://leetcode.com/problems/longest-unequal-adjacent-groups-subsequence-i/,2900,longest-unequal-adjacent-groups-subsequence-i,Easy,"Array, String, Dynamic Programming, Greedy"
