date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,topicTags
28/05/2020,https://leetcode.com/problems/counting-bits/,338,counting-bits,Counting Bits,Easy,,"Dynamic Programming, Bit Manipulation"
29/05/2020,https://leetcode.com/problems/course-schedule/,207,course-schedule,Course Schedule,Medium,,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
30/05/2020,https://leetcode.com/problems/k-closest-points-to-origin/,973,k-closest-points-to-origin,K Closest Points to Origin,Medium,,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
31/05/2020,https://leetcode.com/problems/edit-distance/,72,edit-distance,Edit Distance,Medium,,"String, Dynamic Programming"
01/06/2020,https://leetcode.com/problems/invert-binary-tree/,226,invert-binary-tree,Invert Binary Tree,Easy,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
02/06/2020,https://leetcode.com/problems/delete-node-in-a-linked-list/,237,delete-node-in-a-linked-list,Delete Node in a Linked List,Medium,,Linked List
03/06/2020,https://leetcode.com/problems/two-city-scheduling/,1029,two-city-scheduling,Two City Scheduling,Medium,,"Array, Greedy, Sorting"
04/06/2020,https://leetcode.com/problems/reverse-string/,344,reverse-string,Reverse String,Easy,,"Two Pointers, String"
05/06/2020,https://leetcode.com/problems/random-pick-with-weight/,528,random-pick-with-weight,Random Pick with Weight,Medium,,"Array, Math, Binary Search, Prefix Sum, Randomized"
06/06/2020,https://leetcode.com/problems/queue-reconstruction-by-height/,406,queue-reconstruction-by-height,Queue Reconstruction by Height,Medium,,"Array, Binary Indexed Tree, Segment Tree, Sorting"
07/06/2020,https://leetcode.com/problems/coin-change-ii/,518,coin-change-ii,Coin Change II,Medium,,"Array, Dynamic Programming"
08/06/2020,https://leetcode.com/problems/power-of-two/,231,power-of-two,Power of Two,Easy,,"Math, Bit Manipulation, Recursion"
09/06/2020,https://leetcode.com/problems/is-subsequence/,392,is-subsequence,Is Subsequence,Easy,,"Two Pointers, String, Dynamic Programming"
